,t_s,H_m,Qw_m3s,Ai_m2,todoy,iceon,tau,starth,gravelz,Hdl,His,Ta,Uw,rh,P,Ta_C,Hstar,Astar,Qstar,Tw_C,thawingdegreedays
34,367200,0.0,0.0,0.0,151,274,14,0.5,0.5,193.178625,0.0,-14.56,0.0,0.866,98900.0,-14.56,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
35,378000,0.0,0.0,0.0,151,274,14,0.5,0.5,192.4069125,0.0,-13.73,0.0,0.8740000000000001,98900.0,-13.73,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
36,388800,0.0,0.0,0.0,151,274,14,0.5,0.5,191.6352,0.0,-13.73,0.0,0.8690000000000001,98900.0,-13.73,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
37,399600,0.0,0.0,0.0,151,274,14,0.5,0.5,192.5038,0.0,-15.15,0.0,0.858,98900.0,-15.15,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
38,410400,0.0,0.0,0.0,151,274,14,0.5,0.5,193.3724,0.0,-14.6,0.0,0.8640000000000001,98900.0,-14.6,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
39,421200,0.0,0.0,0.0,151,274,14,0.5,0.5,194.24099999999999,0.0,-13.75,0.0,0.875,98900.0,-13.75,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
40,432000,0.0,0.0,0.0,151,274,14,0.5,0.5,195.1096,0.0,-14.05,0.0,0.871,98900.0,-14.05,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
41,442800,0.0,0.0,0.0,151,274,14,0.5,0.5,195.97820000000002,0.0,-14.14,0.0,0.871,98900.0,-14.14,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
42,453600,0.0,0.0,0.0,151,274,14,0.5,0.5,196.8468,0.0,-13.9,0.0,0.872,98800.0,-13.9,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
43,464400,0.0,0.0,0.0,151,274,14,0.5,0.5,197.7154,0.0,-14.45,0.0,0.868,98900.0,-14.45,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
44,475200,0.0,0.0,0.0,151,274,14,0.5,0.5,198.584,1.0,-13.99,0.0,0.87,98900.0,-13.99,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
45,486000,0.0,0.0,0.0,151,274,14,0.5,0.5,199.14555000000001,0.0,-13.75,0.0,0.875,98900.0,-13.75,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
46,496800,0.0,0.0,0.0,151,274,14,0.5,0.5,199.7071,0.0,-13.49,0.0,0.8759999999999999,98900.0,-13.49,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
47,507600,0.0,0.0,0.0,151,274,14,0.5,0.5,200.26865,0.0,-14.04,0.0,0.871,98900.0,-14.04,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
48,518400,0.0,0.0,0.0,151,274,14,0.5,0.5,200.8302,0.0,-14.76,0.0,0.862,98900.0,-14.76,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
49,529200,0.0,0.0,0.0,151,274,14,0.5,0.5,201.39175,0.0,-14.7,0.0,0.861,98900.0,-14.7,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
50,540000,0.0,0.0,0.0,151,274,14,0.5,0.5,201.9533,0.0,-14.93,0.0,0.862,98800.0,-14.93,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
51,550800,0.0,0.0,0.0,151,274,14,0.5,0.5,202.51485,0.0,-15.46,0.0,0.851,98800.0,-15.46,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
52,561600,0.0,0.0,0.0,151,274,14,0.5,0.5,203.0764,1.0,-15.42,0.0,0.857,99000.0,-15.42,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
53,572400,0.0,0.0,0.0,151,274,14,0.5,0.5,201.9696625,0.0,-15.08,0.0,0.853,99000.0,-15.08,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
54,583200,0.0,0.0,0.0,151,274,14,0.5,0.5,200.86292500000002,0.0,-16.35,0.0,0.8440000000000001,99100.0,-16.35,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
55,594000,0.0,0.0,0.0,151,274,14,0.5,0.5,199.7561875,0.0,-16.64,0.0,0.8390000000000001,99100.0,-16.64,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
56,604800,0.0,0.0,0.0,151,274,14,0.5,0.5,198.64945,0.0,-16.59,0.0,0.848,99100.0,-16.59,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
57,615600,0.0,0.0,0.0,151,274,14,0.5,0.5,197.5427125,0.0,-17.05,0.0,0.8420000000000001,99200.0,-17.05,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
58,626400,0.0,0.0,0.0,151,274,14,0.5,0.5,196.43597499999998,0.0,-17.29,0.0,0.838,99200.0,-17.29,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
59,637200,0.0,0.0,0.0,151,274,14,0.5,0.5,195.3292375,0.0,-17.21,0.0,0.838,99300.0,-17.21,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
